date,source,GWh,TWh,total_GWh,share
2015-04-01,Solar,2379.11811,2.37911811,284296.88029,0.008368428480724641
2015-04-01,Wind,17867.14921,17.86714921,284296.88029,0.06284680011885613
2015-05-01,Coal,104584.52668,104.58452668,311708.3119,0.33552049363878383
2015-05-01,Gas,101516.3545,101.5163545,311708.3119,0.3256774061660818
2015-05-01,Hydro,20125.4156,20.1254156,311708.3119,0.06456489875847934
2015-05-01,Nuclear,65826.525,65.82652499999999,311708.3119,0.21117988352238098
2015-05-01,Solar,2504.14881,2.5041488100000002,311708.3119,0.008033628602125193
2015-05-01,Wind,17151.34131,17.15134131,311708.3119,0.055023689312148884
2015-06-01,Coal,125673.11366,125.67311366,352059.97627,0.3569650688257146
2015-06-01,Gas,121477.74922,121.47774921999999,352059.97627,0.34504845028688214
2015-06-01,Hydro,20414.084,20.414084,352059.97627,0.05798467697544846
2015-06-01,Nuclear,68516.165,68.51616499999999,352059.97627,0.19461503612513437
2015-06-01,Solar,2557.5982,2.5575981999999997,352059.97627,0.007264666171648379
2015-06-01,Wind,13421.26619,13.42126619,352059.97627,0.03812210161517205
2015-07-01,Coal,139099.86855,139.09986855000002,388947.86025,0.3576311448547171
2015-07-01,Gas,141119.08134,141.11908134,388947.86025,0.3628226190762287
2015-07-01,Hydro,21014.22144,21.01422144,388947.86025,0.054028376519394926
2015-07-01,Nuclear,71412.176,71.412176,388947.86025,0.1836034679663725
2015-07-01,Solar,2627.06355,2.62706355,388947.86025,0.00675428204775681
2015-07-01,Wind,13675.44937,13.67544937,388947.86025,0.03516010953552996
2015-08-01,Coal,134670.3089,134.6703089,381059.10121,0.353410556190295
2015-08-01,Gas,139083.7544,139.0837544,381059.10121,0.36499260602452205
2015-08-01,Hydro,19122.10511,19.12210511,381059.10121,0.050181468043357116
2015-08-01,Nuclear,72415.352,72.415352,381059.10121,0.19003706188896985
2015-08-01,Solar,2687.55324,2.68755324,381059.10121,0.007052851464421267
2015-08-01,Wind,13080.02756,13.080027560000001,381059.10121,0.034325456388434754
2015-09-01,Coal,117985.6322,117.9856322,339780.73959,0.34724049498028814
2015-09-01,Gas,123035.92238,123.03592238,339780.73959,0.3621038747766062
2015-09-01,Hydro,16094.1224,16.0941224,339780.73959,0.04736619980114277
2015-09-01,Nuclear,66476.372,66.476372,339780.73959,0.19564490936188558
2015-09-01,Solar,2217.1241,2.2171241,339780.73959,0.006525161204473556
2015-09-01,Wind,13971.56651,13.97156651,339780.73959,0.041119359875603716
2015-10-01,Coal,96758.50415,96.75850415,302254.48404999997,0.32012264252792316
2015-10-01,Gas,110005.03903,110.00503903,302254.48404999997,0.3639484104785112
2015-10-01,Hydro,16630.40155,16.63040155,302254.48404999997,0.05502119051192948
2015-10-01,Nuclear,60570.921,60.570921000000006,302254.48404999997,0.20039709647444023
2015-10-01,Solar,1909.57979,1.90957979,302254.48404999997,0.006317788124804497
2015-10-01,Wind,16380.03853,16.38003853,302254.48404999997,0.05419287188239152
2015-11-01,Coal,87227.13603,87.22713603,290476.53968,0.3002897794296666
2015-11-01,Gas,102236.25483,102.23625483000001,290476.53968,0.35196045416482635
2015-11-01,Hydro,19337.83088,19.337830880000002,290476.53968,0.06657278037428872
2015-11-01,Nuclear,60263.941,60.263940999999996,290476.53968,0.20746577698284704
2015-11-01,Solar,1729.6613,1.7296613,290476.53968,0.0059545645300837745
2015-11-01,Wind,19681.71564,19.68171564,290476.53968,0.06775664451828751
2015-12-01,Coal,89495.07284,89.49507283999999,313739.24539,0.2852530378491582
2015-12-01,Gas,109776.67885,109.77667885,313739.24539,0.3498978226760884
2015-12-01,Hydro,23165.56195,23.16556195,313739.24539,0.07383699135632067
2015-12-01,Nuclear,69633.664,69.63366400000001,313739.24539,0.221947572779556
2015-12-01,Solar,1569.89498,1.56989498,313739.24539,0.005003820857822585
2015-12-01,Wind,20098.37277,20.09837277,313739.24539,0.0640607544810542
2016-01-01,Coal,113459.37975,113.45937975,341594.64713999996,0.3321462461427258
2016-01-01,Gas,110043.74673,110.04374673,341594.64713999996,0.32214716375487995
2016-01-01,Hydro,25614.54233,25.61454233,341594.64713999996,0.07498519822970784
2016-01-01,Nuclear,72524.775,72.52477499999999,341594.64713999996,0.2123123872320993
2016-01-01,Solar,1485.80182,1.4858018199999998,341594.64713999996,0.004349605101953063
2016-01-01,Wind,18466.40151,18.46640151,341594.64713999996,0.054059399538634124
2016-02-01,Coal,92704.80797,92.70480796999999,303413.93475,0.30553905853528035
2016-02-01,Gas,98552.17908,98.55217908,303413.93475,0.32481098523442153
