source,period,GWh
Hydro,2024-07,21187.54055
Hydro,2024-06,21171.60308
Hydro,2024-05,22616.8404
Hydro,2024-04,19376.29594
Hydro,2024-03,23320.64044
Hydro,2024-02,20105.30611
Hydro,2024-01,21936.00738
Hydro,2023-12,19027.64919
Hydro,2023-11,17025.68245
Hydro,2023-10,15672.55982
Hydro,2023-09,16915.72764
Hydro,2023-08,21293.08687
Hydro,2023-07,21977.73383
Hydro,2023-06,21572.23898
Hydro,2023-05,27651.29087
Hydro,2023-04,19819.60825
Hydro,2023-03,21331.4014
Hydro,2023-02,19961.14213
Hydro,2023-01,22754.21698
Hydro,2022-12,20429.54086
Hydro,2022-11,17898.14767
Hydro,2022-10,14367.41841
Hydro,2022-09,17026.14725
Hydro,2022-08,21132.94901
Hydro,2022-07,24567.4546
Hydro,2022-06,25987.79518
Hydro,2022-05,23358.77956
Hydro,2022-04,20065.83638
